Player,Harrison Petty,Jacob van Rooyen,Jake Melksham,Bayley Fritsch,Harry Sharp,Kade Chandler,Tom Sparrow,Christian Petracca,Ed Langdon,Kysaiah Pickett,Clayton Oliver,Harvey Langford,Jack Viney,Xavier Lindsay,Max Gawn,Blake Howes,Caleb Windsor,Christian Salem,Jake Bowey,Judd McVee,Trent Rivers,Daniel Turner,Steven May,Tom McDonald
Harrison Petty,1.000,-0.177,-0.184,0.029,0.249,-0.315,0.243,-0.090,0.369,0.117,-0.017,-0.263,0.186,0.230,0.266,-0.446,0.042,0.343,0.328,0.064,0.021,-0.100,0.172,0.252
Jacob van Rooyen,-0.177,1.000,0.420,0.162,-0.505,0.433,-0.091,0.224,-0.187,0.143,-0.172,0.015,-0.022,-0.135,-0.021,0.218,0.103,0.477,0.148,-0.380,-0.182,-0.018,0.547,-0.454
Jake Melksham,-0.184,0.420,1.000,-0.206,-0.330,-0.232,-0.211,0.459,-0.191,0.291,-0.084,0.127,0.067,0.435,0.122,-0.352,0.334,0.080,-0.116,0.083,0.307,0.139,-0.266,0.351
Bayley Fritsch,0.029,0.162,-0.206,1.000,0.075,-0.064,-0.301,-0.357,-0.350,0.101,0.223,0.009,-0.297,-0.614,-0.137,0.437,-0.338,0.015,-0.269,-0.102,-0.407,-0.183,0.298,0.032
Harry Sharp,0.249,-0.505,-0.330,0.075,1.000,-0.083,0.309,-0.331,-0.144,-0.286,0.123,-0.151,0.128,-0.370,-0.383,-0.590,-0.152,-0.126,0.006,0.049,-0.066,-0.225,0.027,0.000
Kade Chandler,-0.315,0.433,-0.232,-0.064,-0.083,1.000,0.249,0.065,0.018,-0.201,0.173,0.354,0.081,-0.007,-0.021,0.339,0.158,0.214,0.035,-0.138,-0.191,0.317,0.008,-0.509
Tom Sparrow,0.243,-0.091,-0.211,-0.301,0.309,0.249,1.000,0.076,0.067,-0.262,0.203,-0.202,0.579,0.423,0.105,0.030,-0.242,0.389,0.286,0.078,0.189,-0.366,0.221,-0.217
Christian Petracca,-0.090,0.224,0.459,-0.357,-0.331,0.065,0.076,1.000,0.221,-0.015,-0.136,0.453,-0.041,0.237,0.205,-0.545,0.023,0.276,0.107,-0.253,0.373,0.031,-0.571,0.086
Ed Langdon,0.369,-0.187,-0.191,-0.350,-0.144,0.018,0.067,0.221,1.000,0.174,-0.059,0.321,-0.086,0.424,0.205,-0.194,0.452,0.305,0.350,0.398,0.235,0.127,-0.059,0.379
Kysaiah Pickett,0.117,0.143,0.291,0.101,-0.286,-0.201,-0.262,-0.015,0.174,1.000,0.124,-0.049,0.505,0.357,-0.415,-0.038,0.289,0.373,0.188,0.127,0.205,-0.099,-0.157,0.278
Clayton Oliver,-0.017,-0.172,-0.084,0.223,0.123,0.173,0.203,-0.136,-0.059,0.124,1.000,0.081,-0.029,-0.043,-0.107,-0.091,0.220,0.170,-0.034,-0.159,-0.379,-0.121,-0.069,-0.239
Harvey Langford,-0.263,0.015,0.127,0.009,-0.151,0.354,-0.202,0.453,0.321,-0.049,0.081,1.000,-0.364,-0.308,-0.082,0.137,0.172,-0.042,0.203,0.072,0.084,0.261,-0.243,0.008
Jack Viney,0.186,-0.022,0.067,-0.297,0.128,0.081,0.579,-0.041,-0.086,0.505,-0.029,-0.364,1.000,0.595,-0.084,0.019,-0.202,0.327,0.270,0.019,0.196,-0.069,-0.021,-0.165
Xavier Lindsay,0.230,-0.135,0.435,-0.614,-0.370,-0.007,0.423,0.237,0.424,0.357,-0.043,-0.308,0.595,1.000,0.256,-0.346,0.556,0.483,0.137,0.650,0.150,0.136,0.080,0.296
Max Gawn,0.266,-0.021,0.122,-0.137,-0.383,-0.021,0.105,0.205,0.205,-0.415,-0.107,-0.082,-0.084,0.256,1.000,0.043,0.304,0.133,0.117,0.080,0.216,0.292,-0.202,-0.059
Blake Howes,-0.446,0.218,-0.352,0.437,-0.590,0.339,0.030,-0.545,-0.194,-0.038,-0.091,0.137,0.019,-0.346,0.043,1.000,-0.524,-0.291,-0.080,0.049,-0.227,-0.254,0.319,-0.227
Caleb Windsor,0.042,0.103,0.334,-0.338,-0.152,0.158,-0.242,0.023,0.452,0.289,0.220,0.172,-0.202,0.556,0.304,-0.524,1.000,0.354,0.280,0.553,0.226,0.562,-0.071,-0.057
Christian Salem,0.343,0.477,0.080,0.015,-0.126,0.214,0.389,0.276,0.305,0.373,0.170,-0.042,0.327,0.483,0.133,-0.291,0.354,1.000,0.236,0.235,0.172,-0.197,0.078,-0.245
Jake Bowey,0.328,0.148,-0.116,-0.269,0.006,0.035,0.286,0.107,0.350,0.188,-0.034,0.203,0.270,0.137,0.117,-0.080,0.280,0.236,1.000,0.230,0.419,-0.031,0.269,-0.022
Judd McVee,0.064,-0.380,0.083,-0.102,0.049,-0.138,0.078,-0.253,0.398,0.127,-0.159,0.072,0.019,0.650,0.080,0.049,0.553,0.235,0.230,1.000,0.051,0.428,0.484,0.219
Trent Rivers,0.021,-0.182,0.307,-0.407,-0.066,-0.191,0.189,0.373,0.235,0.205,-0.379,0.084,0.196,0.150,0.216,-0.227,0.226,0.172,0.419,0.051,1.000,0.005,-0.273,0.090
Daniel Turner,-0.100,-0.018,0.139,-0.183,-0.225,0.317,-0.366,0.031,0.127,-0.099,-0.121,0.261,-0.069,0.136,0.292,-0.254,0.562,-0.197,-0.031,0.428,0.005,1.000,-0.176,-0.326
Steven May,0.172,0.547,-0.266,0.298,0.027,0.008,0.221,-0.571,-0.059,-0.157,-0.069,-0.243,-0.021,0.080,-0.202,0.319,-0.071,0.078,0.269,0.484,-0.273,-0.176,1.000,0.369
Tom McDonald,0.252,-0.454,0.351,0.032,0.000,-0.509,-0.217,0.086,0.379,0.278,-0.239,0.008,-0.165,0.296,-0.059,-0.227,-0.057,-0.245,-0.022,0.219,0.090,-0.326,0.369,1.000
